pairs	Predictions	Scores
Staphylococcus_pasteuri:PG-2021_16	0	0
Staphylococcus_pettenkoferi:PG-2021_16	0	0
Staphylococcus_pseudintermedius:PG-2021_16	0	0
Staphylococcus_saprophyticus:PG-2021_16	0	0
Staphylococcus_schleiferi:PG-2021_16	1	1
Staphylococcus_sciuri:PG-2021_16	0	0
Staphylococcus_succinus:PG-2021_16	1	1
Staphylococcus_vitulinus:PG-2021_16	1	1
Staphylococcus_warneri:PG-2021_16	0	0
Staphylococcus_xylosus:PG-2021_16	1	1
Staphylococcus_arlettae:PG-2021_17	0	0
Staphylococcus_aureus:PG-2021_17	1	1
Staphylococcus_auricularis:PG-2021_17	1	1
Staphylococcus_capitis:PG-2021_17	1	1
Staphylococcus_caprae:PG-2021_17	0	0
Staphylococcus_chromogenes:PG-2021_17	1	1
Staphylococcus_cohnii:PG-2021_17	1	1
Staphylococcus_epidermidis:PG-2021_17	1	1
Staphylococcus_equorum:PG-2021_17	1	1
Staphylococcus_fleuretti:PG-2021_17	0	0
Staphylococcus_haemolyticus:PG-2021_17	0	0
Staphylococcus_hominis:PG-2021_17	0	0
Staphylococcus_hyicus:PG-2021_17	1	1
Staphylococcus_kloosii:PG-2021_17	1	1
Staphylococcus_lentus:PG-2021_17	1	1
Staphylococcus_lugdunensis:PG-2021_17	1	1
Staphylococcus_nepalensis:PG-2021_17	0	0
Staphylococcus_pasteuri:PG-2021_17	0	0
Staphylococcus_pettenkoferi:PG-2021_17	1	1
Staphylococcus_pseudintermedius:PG-2021_17	1	1
Staphylococcus_saprophyticus:PG-2021_17	0	0
Staphylococcus_schleiferi:PG-2021_17	1	1
Staphylococcus_sciuri:PG-2021_17	1	1
Staphylococcus_succinus:PG-2021_17	1	1
Staphylococcus_vitulinus:PG-2021_17	1	1
Staphylococcus_warneri:PG-2021_17	0	0
Staphylococcus_xylosus:PG-2021_17	1	1
Staphylococcus_arlettae:PG-2021_18	0	0
Staphylococcus_aureus:PG-2021_18	1	1
Staphylococcus_auricularis:PG-2021_18	0	0
Staphylococcus_capitis:PG-2021_18	1	1
Staphylococcus_caprae:PG-2021_18	0	0
Staphylococcus_chromogenes:PG-2021_18	1	1
Staphylococcus_cohnii:PG-2021_18	0	0
Staphylococcus_epidermidis:PG-2021_18	1	1
Staphylococcus_equorum:PG-2021_18	1	1
Staphylococcus_fleuretti:PG-2021_18	0	0
Staphylococcus_haemolyticus:PG-2021_18	0	0
Staphylococcus_hominis:PG-2021_18	0	0
Staphylococcus_hyicus:PG-2021_18	0	0
Staphylococcus_kloosii:PG-2021_18	0	0
Staphylococcus_lentus:PG-2021_18	0	0
Staphylococcus_lugdunensis:PG-2021_18	1	1
Staphylococcus_nepalensis:PG-2021_18	0	0
Staphylococcus_pasteuri:PG-2021_18	0	0
Staphylococcus_pettenkoferi:PG-2021_18	0	0
Staphylococcus_pseudintermedius:PG-2021_18	0	0
Staphylococcus_saprophyticus:PG-2021_18	0	0
Staphylococcus_schleiferi:PG-2021_18	1	1
Staphylococcus_sciuri:PG-2021_18	0	0
Staphylococcus_succinus:PG-2021_18	1	1
Staphylococcus_vitulinus:PG-2021_18	1	1
Staphylococcus_warneri:PG-2021_18	0	0
Staphylococcus_xylosus:PG-2021_18	1	1
Staphylococcus_arlettae:PG-2021_19	0	0
Staphylococcus_aureus:PG-2021_19	0	0
Staphylococcus_auricularis:PG-2021_19	0	0
Staphylococcus_capitis:PG-2021_19	1	1
Staphylococcus_caprae:PG-2021_19	0	0
Staphylococcus_chromogenes:PG-2021_19	0	0
Staphylococcus_cohnii:PG-2021_19	1	1
Staphylococcus_epidermidis:PG-2021_19	0	0
Staphylococcus_equorum:PG-2021_19	0	0
Staphylococcus_fleuretti:PG-2021_19	0	0
Staphylococcus_haemolyticus:PG-2021_19	1	1
Staphylococcus_hominis:PG-2021_19	0	0
Staphylococcus_hyicus:PG-2021_19	0	0
Staphylococcus_kloosii:PG-2021_19	1	1
Staphylococcus_lentus:PG-2021_19	0	0
Staphylococcus_lugdunensis:PG-2021_19	1	1
Staphylococcus_nepalensis:PG-2021_19	0	0
Staphylococcus_pasteuri:PG-2021_19	0	0
Staphylococcus_pettenkoferi:PG-2021_19	0	0
Staphylococcus_pseudintermedius:PG-2021_19	0	0
Staphylococcus_saprophyticus:PG-2021_19	0	0
Staphylococcus_schleiferi:PG-2021_19	1	1
Staphylococcus_sciuri:PG-2021_19	0	0
Staphylococcus_succinus:PG-2021_19	1	1
Staphylococcus_vitulinus:PG-2021_19	1	1
Staphylococcus_warneri:PG-2021_19	0	0
Staphylococcus_xylosus:PG-2021_19	1	1
Staphylococcus_arlettae:PG-2021_1	0	0
Staphylococcus_aureus:PG-2021_1	1	1
Staphylococcus_auricularis:PG-2021_1	0	0
Staphylococcus_capitis:PG-2021_1	0	0
Staphylococcus_caprae:PG-2021_1	0	0
Staphylococcus_chromogenes:PG-2021_1	0	0
Staphylococcus_cohnii:PG-2021_1	0	0
Staphylococcus_epidermidis:PG-2021_1	1	1
Staphylococcus_equorum:PG-2021_1	0	0
Staphylococcus_fleuretti:PG-2021_1	0	0
Staphylococcus_haemolyticus:PG-2021_1	0	0
Staphylococcus_hominis:PG-2021_1	0	0
Staphylococcus_hyicus:PG-2021_1	0	0
Staphylococcus_kloosii:PG-2021_1	0	0
Staphylococcus_lentus:PG-2021_1	0	0
Staphylococcus_lugdunensis:PG-2021_1	1	1
Staphylococcus_nepalensis:PG-2021_1	0	0
Staphylococcus_pasteuri:PG-2021_1	0	0
Staphylococcus_pettenkoferi:PG-2021_1	1	1
Staphylococcus_pseudintermedius:PG-2021_1	0	0
Staphylococcus_saprophyticus:PG-2021_1	0	0
Staphylococcus_schleiferi:PG-2021_1	1	1
Staphylococcus_sciuri:PG-2021_1	1	1
Staphylococcus_succinus:PG-2021_1	0	0
Staphylococcus_vitulinus:PG-2021_1	0	0
Staphylococcus_warneri:PG-2021_1	1	1
Staphylococcus_xylosus:PG-2021_1	0	0
Staphylococcus_arlettae:PG-2021_22	0	0
Staphylococcus_aureus:PG-2021_22	1	1
Staphylococcus_auricularis:PG-2021_22	0	0
Staphylococcus_capitis:PG-2021_22	0	0
Staphylococcus_caprae:PG-2021_22	0	0
Staphylococcus_chromogenes:PG-2021_22	0	0
Staphylococcus_cohnii:PG-2021_22	1	1
Staphylococcus_epidermidis:PG-2021_22	0	0
Staphylococcus_equorum:PG-2021_22	0	0
Staphylococcus_fleuretti:PG-2021_22	1	1
Staphylococcus_haemolyticus:PG-2021_22	1	1
Staphylococcus_hominis:PG-2021_22	0	0
Staphylococcus_hyicus:PG-2021_22	0	0
Staphylococcus_kloosii:PG-2021_22	1	1
Staphylococcus_lentus:PG-2021_22	0	0
Staphylococcus_lugdunensis:PG-2021_22	0	0
Staphylococcus_nepalensis:PG-2021_22	0	0
Staphylococcus_pasteuri:PG-2021_22	0	0
Staphylococcus_pettenkoferi:PG-2021_22	0	0
Staphylococcus_pseudintermedius:PG-2021_22	0	0
Staphylococcus_saprophyticus:PG-2021_22	0	0
Staphylococcus_schleiferi:PG-2021_22	0	0
Staphylococcus_sciuri:PG-2021_22	1	1
Staphylococcus_succinus:PG-2021_22	0	0
Staphylococcus_vitulinus:PG-2021_22	1	1
Staphylococcus_warneri:PG-2021_22	0	0
Staphylococcus_xylosus:PG-2021_22	1	1
Staphylococcus_arlettae:PG-2021_23	0	0
Staphylococcus_aureus:PG-2021_23	1	1
Staphylococcus_auricularis:PG-2021_23	0	0
Staphylococcus_capitis:PG-2021_23	0	0
Staphylococcus_caprae:PG-2021_23	0	0
Staphylococcus_chromogenes:PG-2021_23	1	1
Staphylococcus_cohnii:PG-2021_23	1	1
Staphylococcus_epidermidis:PG-2021_23	0	0
Staphylococcus_equorum:PG-2021_23	1	1
Staphylococcus_fleuretti:PG-2021_23	1	1
Staphylococcus_haemolyticus:PG-2021_23	0	0
Staphylococcus_hominis:PG-2021_23	0	0
Staphylococcus_hyicus:PG-2021_23	0	0
Staphylococcus_kloosii:PG-2021_23	0	0
Staphylococcus_lentus:PG-2021_23	1	1
Staphylococcus_lugdunensis:PG-2021_23	0	0
Staphylococcus_nepalensis:PG-2021_23	0	0
Staphylococcus_pasteuri:PG-2021_23	0	0
Staphylococcus_pettenkoferi:PG-2021_23	0	0
Staphylococcus_pseudintermedius:PG-2021_23	0	0
Staphylococcus_saprophyticus:PG-2021_23	0	0
Staphylococcus_schleiferi:PG-2021_23	0	0
Staphylococcus_sciuri:PG-2021_23	1	1
Staphylococcus_succinus:PG-2021_23	0	0
Staphylococcus_vitulinus:PG-2021_23	1	1
Staphylococcus_warneri:PG-2021_23	0	0
Staphylococcus_xylosus:PG-2021_23	1	1
Staphylococcus_arlettae:PG-2021_27	0	0
Staphylococcus_aureus:PG-2021_27	1	1
Staphylococcus_auricularis:PG-2021_27	0	0
Staphylococcus_capitis:PG-2021_27	0	0
Staphylococcus_caprae:PG-2021_27	0	0
Staphylococcus_chromogenes:PG-2021_27	0	0
Staphylococcus_cohnii:PG-2021_27	0	0
Staphylococcus_epidermidis:PG-2021_27	0	0
Staphylococcus_equorum:PG-2021_27	0	0
Staphylococcus_fleuretti:PG-2021_27	0	0
Staphylococcus_haemolyticus:PG-2021_27	0	0
Staphylococcus_hominis:PG-2021_27	0	0
Staphylococcus_hyicus:PG-2021_27	0	0
Staphylococcus_kloosii:PG-2021_27	0	0
Staphylococcus_lentus:PG-2021_27	0	0
Staphylococcus_lugdunensis:PG-2021_27	1	1
Staphylococcus_nepalensis:PG-2021_27	0	0
Staphylococcus_pasteuri:PG-2021_27	0	0
Staphylococcus_pettenkoferi:PG-2021_27	0	0
Staphylococcus_pseudintermedius:PG-2021_27	0	0
Staphylococcus_saprophyticus:PG-2021_27	1	1
Staphylococcus_schleiferi:PG-2021_27	0	0
Staphylococcus_sciuri:PG-2021_27	0	0
Staphylococcus_succinus:PG-2021_27	0	0
Staphylococcus_vitulinus:PG-2021_27	1	1
Staphylococcus_warneri:PG-2021_27	0	0
Staphylococcus_xylosus:PG-2021_27	0	0
Staphylococcus_arlettae:PG-2021_29	0	0
Staphylococcus_aureus:PG-2021_29	0	0
Staphylococcus_auricularis:PG-2021_29	0	0
Staphylococcus_capitis:PG-2021_29	1	1
Staphylococcus_caprae:PG-2021_29	0	0
Staphylococcus_chromogenes:PG-2021_29	1	1
Staphylococcus_cohnii:PG-2021_29	0	0
Staphylococcus_epidermidis:PG-2021_29	1	1
Staphylococcus_equorum:PG-2021_29	1	1
Staphylococcus_fleuretti:PG-2021_29	0	0
Staphylococcus_haemolyticus:PG-2021_29	0	0
Staphylococcus_hominis:PG-2021_29	0	0
Staphylococcus_hyicus:PG-2021_29	1	1
Staphylococcus_kloosii:PG-2021_29	0	0
Staphylococcus_lentus:PG-2021_29	0	0
Staphylococcus_lugdunensis:PG-2021_29	1	1
Staphylococcus_nepalensis:PG-2021_29	0	0
Staphylococcus_pasteuri:PG-2021_29	0	0
Staphylococcus_pettenkoferi:PG-2021_29	0	0
Staphylococcus_pseudintermedius:PG-2021_29	0	0
Staphylococcus_saprophyticus:PG-2021_29	0	0
Staphylococcus_schleiferi:PG-2021_29	1	1
Staphylococcus_sciuri:PG-2021_29	1	1
Staphylococcus_succinus:PG-2021_29	1	1
Staphylococcus_vitulinus:PG-2021_29	1	1
Staphylococcus_warneri:PG-2021_29	0	0
Staphylococcus_xylosus:PG-2021_29	1	1
Staphylococcus_arlettae:PG-2021_2	0	0
Staphylococcus_aureus:PG-2021_2	0	0
Staphylococcus_auricularis:PG-2021_2	0	0
Staphylococcus_capitis:PG-2021_2	1	1
Staphylococcus_caprae:PG-2021_2	0	0
Staphylococcus_chromogenes:PG-2021_2	1	1
Staphylococcus_cohnii:PG-2021_2	0	0
Staphylococcus_epidermidis:PG-2021_2	1	1
Staphylococcus_equorum:PG-2021_2	1	1
Staphylococcus_fleuretti:PG-2021_2	0	0
Staphylococcus_haemolyticus:PG-2021_2	0	0
Staphylococcus_hominis:PG-2021_2	0	0
Staphylococcus_hyicus:PG-2021_2	0	0
Staphylococcus_kloosii:PG-2021_2	0	0
Staphylococcus_lentus:PG-2021_2	0	0
Staphylococcus_lugdunensis:PG-2021_2	1	1
Staphylococcus_nepalensis:PG-2021_2	0	0
Staphylococcus_pasteuri:PG-2021_2	0	0
Staphylococcus_pettenkoferi:PG-2021_2	0	0
Staphylococcus_pseudintermedius:PG-2021_2	0	0
Staphylococcus_saprophyticus:PG-2021_2	0	0
Staphylococcus_schleiferi:PG-2021_2	1	1
Staphylococcus_sciuri:PG-2021_2	0	0
Staphylococcus_succinus:PG-2021_2	1	1
Staphylococcus_vitulinus:PG-2021_2	1	1
Staphylococcus_warneri:PG-2021_2	0	0
Staphylococcus_xylosus:PG-2021_2	1	1
Staphylococcus_arlettae:PG-2021_31	0	0
Staphylococcus_aureus:PG-2021_31	0	0
Staphylococcus_auricularis:PG-2021_31	0	0
Staphylococcus_capitis:PG-2021_31	0	0
Staphylococcus_caprae:PG-2021_31	0	0
Staphylococcus_chromogenes:PG-2021_31	0	0
Staphylococcus_cohnii:PG-2021_31	0	0
Staphylococcus_epidermidis:PG-2021_31	0	0
Staphylococcus_equorum:PG-2021_31	0	0
Staphylococcus_fleuretti:PG-2021_31	0	0
Staphylococcus_haemolyticus:PG-2021_31	0	0
Staphylococcus_hominis:PG-2021_31	0	0
Staphylococcus_hyicus:PG-2021_31	0	0
Staphylococcus_kloosii:PG-2021_31	1	1
Staphylococcus_lentus:PG-2021_31	1	1
Staphylococcus_lugdunensis:PG-2021_31	0	0
Staphylococcus_nepalensis:PG-2021_31	0	0
Staphylococcus_pasteuri:PG-2021_31	0	0
Staphylococcus_pettenkoferi:PG-2021_31	0	0
Staphylococcus_pseudintermedius:PG-2021_31	0	0
Staphylococcus_saprophyticus:PG-2021_31	0	0
Staphylococcus_schleiferi:PG-2021_31	1	1
Staphylococcus_sciuri:PG-2021_31	1	1
Staphylococcus_succinus:PG-2021_31	1	1
Staphylococcus_vitulinus:PG-2021_31	1	1
Staphylococcus_warneri:PG-2021_31	0	0
Staphylococcus_xylosus:PG-2021_31	1	1
Staphylococcus_arlettae:PG-2021_33	0	0
Staphylococcus_aureus:PG-2021_33	1	1
Staphylococcus_auricularis:PG-2021_33	0	0
Staphylococcus_capitis:PG-2021_33	0	0
Staphylococcus_caprae:PG-2021_33	0	0
Staphylococcus_chromogenes:PG-2021_33	0	0
Staphylococcus_cohnii:PG-2021_33	0	0
Staphylococcus_epidermidis:PG-2021_33	0	0
Staphylococcus_equorum:PG-2021_33	0	0
Staphylococcus_fleuretti:PG-2021_33	0	0
Staphylococcus_haemolyticus:PG-2021_33	0	0
Staphylococcus_hominis:PG-2021_33	0	0
Staphylococcus_hyicus:PG-2021_33	0	0
Staphylococcus_kloosii:PG-2021_33	1	1
Staphylococcus_lentus:PG-2021_33	1	1
Staphylococcus_lugdunensis:PG-2021_33	0	0
Staphylococcus_nepalensis:PG-2021_33	0	0
Staphylococcus_pasteuri:PG-2021_33	0	0
Staphylococcus_pettenkoferi:PG-2021_33	0	0
Staphylococcus_pseudintermedius:PG-2021_33	0	0
Staphylococcus_saprophyticus:PG-2021_33	0	0
Staphylococcus_schleiferi:PG-2021_33	1	1
Staphylococcus_sciuri:PG-2021_33	1	1
Staphylococcus_succinus:PG-2021_33	1	1
Staphylococcus_vitulinus:PG-2021_33	1	1
Staphylococcus_warneri:PG-2021_33	0	0
Staphylococcus_xylosus:PG-2021_33	1	1
Staphylococcus_arlettae:PG-2021_35	0	0
Staphylococcus_aureus:PG-2021_35	0	0
Staphylococcus_auricularis:PG-2021_35	0	0
Staphylococcus_capitis:PG-2021_35	1	1
Staphylococcus_caprae:PG-2021_35	0	0
Staphylococcus_chromogenes:PG-2021_35	0	0
Staphylococcus_cohnii:PG-2021_35	1	1
Staphylococcus_epidermidis:PG-2021_35	1	1
Staphylococcus_equorum:PG-2021_35	0	0
Staphylococcus_fleuretti:PG-2021_35	0	0
Staphylococcus_haemolyticus:PG-2021_35	0	0
Staphylococcus_hominis:PG-2021_35	0	0
Staphylococcus_hyicus:PG-2021_35	0	0
Staphylococcus_kloosii:PG-2021_35	0	0
Staphylococcus_lentus:PG-2021_35	0	0
Staphylococcus_lugdunensis:PG-2021_35	1	1
Staphylococcus_nepalensis:PG-2021_35	0	0
Staphylococcus_pasteuri:PG-2021_35	0	0
Staphylococcus_pettenkoferi:PG-2021_35	0	0
Staphylococcus_pseudintermedius:PG-2021_35	0	0
Staphylococcus_saprophyticus:PG-2021_35	0	0
Staphylococcus_schleiferi:PG-2021_35	1	1
Staphylococcus_sciuri:PG-2021_35	0	0
Staphylococcus_succinus:PG-2021_35	1	1
Staphylococcus_vitulinus:PG-2021_35	1	1
Staphylococcus_warneri:PG-2021_35	1	1
Staphylococcus_xylosus:PG-2021_35	1	1
Staphylococcus_arlettae:PG-2021_38	0	0
Staphylococcus_aureus:PG-2021_38	1	1
Staphylococcus_auricularis:PG-2021_38	0	0
Staphylococcus_capitis:PG-2021_38	1	1
Staphylococcus_caprae:PG-2021_38	0	0
Staphylococcus_chromogenes:PG-2021_38	1	1
Staphylococcus_cohnii:PG-2021_38	0	0
Staphylococcus_epidermidis:PG-2021_38	1	1
Staphylococcus_equorum:PG-2021_38	1	1
Staphylococcus_fleuretti:PG-2021_38	0	0
Staphylococcus_haemolyticus:PG-2021_38	0	0
Staphylococcus_hominis:PG-2021_38	0	0
Staphylococcus_hyicus:PG-2021_38	0	0
Staphylococcus_kloosii:PG-2021_38	0	0
Staphylococcus_lentus:PG-2021_38	0	0
Staphylococcus_lugdunensis:PG-2021_38	1	1
Staphylococcus_nepalensis:PG-2021_38	0	0
Staphylococcus_pasteuri:PG-2021_38	0	0
Staphylococcus_pettenkoferi:PG-2021_38	0	0
Staphylococcus_pseudintermedius:PG-2021_38	0	0
Staphylococcus_saprophyticus:PG-2021_38	1	1
Staphylococcus_schleiferi:PG-2021_38	1	1
Staphylococcus_sciuri:PG-2021_38	0	0
Staphylococcus_succinus:PG-2021_38	1	1
Staphylococcus_vitulinus:PG-2021_38	1	1
Staphylococcus_warneri:PG-2021_38	0	0
Staphylococcus_xylosus:PG-2021_38	1	1
Staphylococcus_arlettae:PG-2021_40	0	0
Staphylococcus_aureus:PG-2021_40	1	1
Staphylococcus_auricularis:PG-2021_40	0	0
Staphylococcus_capitis:PG-2021_40	0	0
Staphylococcus_caprae:PG-2021_40	0	0
Staphylococcus_chromogenes:PG-2021_40	1	1
Staphylococcus_cohnii:PG-2021_40	0	0
Staphylococcus_epidermidis:PG-2021_40	0	0
Staphylococcus_equorum:PG-2021_40	1	1
Staphylococcus_fleuretti:PG-2021_40	1	1
Staphylococcus_haemolyticus:PG-2021_40	0	0
Staphylococcus_hominis:PG-2021_40	0	0
Staphylococcus_hyicus:PG-2021_40	0	0
Staphylococcus_kloosii:PG-2021_40	1	1
Staphylococcus_lentus:PG-2021_40	0	0
Staphylococcus_lugdunensis:PG-2021_40	0	0
Staphylococcus_nepalensis:PG-2021_40	0	0
Staphylococcus_pasteuri:PG-2021_40	0	0
Staphylococcus_pettenkoferi:PG-2021_40	0	0
Staphylococcus_pseudintermedius:PG-2021_40	0	0
Staphylococcus_saprophyticus:PG-2021_40	0	0
Staphylococcus_schleiferi:PG-2021_40	0	0
Staphylococcus_sciuri:PG-2021_40	1	1
Staphylococcus_succinus:PG-2021_40	0	0
Staphylococcus_vitulinus:PG-2021_40	1	1
Staphylococcus_warneri:PG-2021_40	0	0
Staphylococcus_xylosus:PG-2021_40	1	1
Staphylococcus_arlettae:PG-2021_41	0	0
Staphylococcus_aureus:PG-2021_41	0	0
Staphylococcus_auricularis:PG-2021_41	0	0
Staphylococcus_capitis:PG-2021_41	0	0
Staphylococcus_caprae:PG-2021_41	0	0
Staphylococcus_chromogenes:PG-2021_41	1	1
Staphylococcus_cohnii:PG-2021_41	1	1
Staphylococcus_epidermidis:PG-2021_41	0	0
Staphylococcus_equorum:PG-2021_41	1	1
Staphylococcus_fleuretti:PG-2021_41	1	1
Staphylococcus_haemolyticus:PG-2021_41	1	1
Staphylococcus_hominis:PG-2021_41	0	0
Staphylococcus_hyicus:PG-2021_41	0	0
Staphylococcus_kloosii:PG-2021_41	1	1
Staphylococcus_lentus:PG-2021_41	0	0
Staphylococcus_lugdunensis:PG-2021_41	0	0
Staphylococcus_nepalensis:PG-2021_41	0	0
Staphylococcus_pasteuri:PG-2021_41	0	0
Staphylococcus_pettenkoferi:PG-2021_41	0	0
Staphylococcus_pseudintermedius:PG-2021_41	0	0
Staphylococcus_saprophyticus:PG-2021_41	0	0
Staphylococcus_schleiferi:PG-2021_41	0	0
Staphylococcus_sciuri:PG-2021_41	1	1
Staphylococcus_succinus:PG-2021_41	0	0
Staphylococcus_vitulinus:PG-2021_41	1	1
Staphylococcus_warneri:PG-2021_41	0	0
Staphylococcus_xylosus:PG-2021_41	1	1
Staphylococcus_arlettae:PG-2021_43	0	0
Staphylococcus_aureus:PG-2021_43	1	1
Staphylococcus_auricularis:PG-2021_43	0	0
Staphylococcus_capitis:PG-2021_43	0	0
Staphylococcus_caprae:PG-2021_43	0	0
Staphylococcus_chromogenes:PG-2021_43	0	0
Staphylococcus_cohnii:PG-2021_43	1	1
Staphylococcus_epidermidis:PG-2021_43	0	0
Staphylococcus_equorum:PG-2021_43	0	0
Staphylococcus_fleuretti:PG-2021_43	1	1
