pairs	Predictions	Scores
MG592396.1:Vibrio parahaemolyticus	0	0
MG592396.1:Vibrio sp. 10N.1	0	0
MG592396.1:Vibrio sp. 10N.2	0	0
MG592396.1:Vibrio sp. 10N.3	0	0
MG592396.1:Vibrio sp. 10N.4	0	0
MG592396.1:Vibrio sp. 10N.5	0	0
MG592396.1:Vibrio sp. F12	1	1
MG592396.1:Vibrio sp. F13	0	0
MG592396.1:Vibrio splendidus	1	1
MG592396.1:Vibrio tasmaniensis	0	0
MG592396.1:Vibrio vulnificus	0	0
MG592397.1:Aliivibrio fischeri	0	0
MG592397.1:Enterovibrio norvegicus	0	0
MG592397.1:Shewanella sp. 10N.6	0	0
MG592397.1:Shewanella sp. 10N.7	0	0
MG592397.1:Vibrio alginolyticus	0	0
MG592397.1:Vibrio anguillarum	0	0
MG592397.1:Vibrio breoganii	1	1
MG592397.1:Vibrio cyclitrophicus	0	0
MG592397.1:Vibrio kanaloae	0	0
MG592397.1:Vibrio lentus	1	1
MG592397.1:Vibrio parahaemolyticus	0	0
MG592397.1:Vibrio sp. 10N.1	0	0
MG592397.1:Vibrio sp. 10N.2	0	0
MG592397.1:Vibrio sp. 10N.3	0	0
MG592397.1:Vibrio sp. 10N.4	0	0
MG592397.1:Vibrio sp. 10N.5	0	0
MG592397.1:Vibrio sp. F12	0	0
MG592397.1:Vibrio sp. F13	0	0
MG592397.1:Vibrio splendidus	0	0
MG592397.1:Vibrio tasmaniensis	0	0
MG592397.1:Vibrio vulnificus	0	0
MG592398.1:Aliivibrio fischeri	0	0
MG592398.1:Enterovibrio norvegicus	0	0
MG592398.1:Shewanella sp. 10N.6	0	0
MG592398.1:Shewanella sp. 10N.7	0	0
MG592398.1:Vibrio alginolyticus	0	0
MG592398.1:Vibrio anguillarum	0	0
MG592398.1:Vibrio breoganii	0	0
MG592398.1:Vibrio cyclitrophicus	1	1
MG592398.1:Vibrio kanaloae	0	0
MG592398.1:Vibrio lentus	0	0
MG592398.1:Vibrio parahaemolyticus	0	0
MG592398.1:Vibrio sp. 10N.1	0	0
MG592398.1:Vibrio sp. 10N.2	0	0
MG592398.1:Vibrio sp. 10N.3	0	0
MG592398.1:Vibrio sp. 10N.4	0	0
MG592398.1:Vibrio sp. 10N.5	0	0
MG592398.1:Vibrio sp. F12	0	0
MG592398.1:Vibrio sp. F13	0	0
MG592398.1:Vibrio splendidus	0	0
MG592398.1:Vibrio tasmaniensis	0	0
MG592398.1:Vibrio vulnificus	0	0
MG592399.1:Aliivibrio fischeri	0	0
MG592399.1:Enterovibrio norvegicus	0	0
MG592399.1:Shewanella sp. 10N.6	0	0
MG592399.1:Shewanella sp. 10N.7	0	0
MG592399.1:Vibrio alginolyticus	0	0
MG592399.1:Vibrio anguillarum	0	0
MG592399.1:Vibrio breoganii	1	1
MG592399.1:Vibrio cyclitrophicus	0	0
MG592399.1:Vibrio kanaloae	0	0
MG592399.1:Vibrio lentus	0	0
MG592399.1:Vibrio parahaemolyticus	0	0
MG592399.1:Vibrio sp. 10N.1	0	0
MG592399.1:Vibrio sp. 10N.2	0	0
