Virus,Host
49641--k141_112297||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_112297||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_112297||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_112297||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_112297||full.fasta,concatenated_Sample_49624_8.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49632_5.1.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49624_12.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49628_11.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49624_47.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49624_51.1.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49625_6.fasta
49628--k141_161091||full.fasta,concatenated_49626-contigs.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49624_23.fasta
49628--k141_161091||full.fasta,concatenated_Sample_49624_8.fasta
49628--k141_161091||full.fasta,concatenated_49631-contigs.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49632_12.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49632_5.1.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_12.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_46.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49628_11.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_47.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_51.1.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49625_6.fasta
49628--k141_192503||full.fasta,concatenated_49625-contigs.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49628_55.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_23.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49624_8.fasta
49628--k141_192503||full.fasta,concatenated_Sample_49632_27.fasta
49627--k141_148239||full.fasta,concatenated_Sample_49632_5.1.fasta
49627--k141_148239||full.fasta,concatenated_Sample_49624_46.fasta
49627--k141_148239||full.fasta,concatenated_Sample_49628_55.fasta
49627--k141_148239||full.fasta,concatenated_Sample_49632_27.fasta
