Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,3330,Staphylococcus_arlettae,7.43876901390339e-92,0.0,0.0,CM
,3330,Staphylococcus_aureus,0.19706780929835735,0.059539812193503495,0.514247491638796,CM
,3330,Staphylococcus_auricularis,0.03731035434244591,0.0009354276552013631,0.3628126474752242,CM
,3330,Staphylococcus_capitis,0.14889522522408494,0.03339482553071776,0.45843768634466314,CM
,3330,Staphylococcus_caprae,0.01643610621082654,0.00023192541740169972,0.3499317250796541,CM
,3330,Staphylococcus_chromogenes,0.1755597970154267,0.05537344560113648,0.47310769230769234,CM
,3330,Staphylococcus_cohnii,0.15403126836216843,0.016342802691817208,0.4446500867553499,CM
,3330,Staphylococcus_epidermidis,0.20592809839951307,0.07363574010215324,0.5233492171545269,CM
,3330,Staphylococcus_equorum,0.18215172924351167,0.03294006693421045,0.48080050031269544,CM
,3330,Staphylococcus_fleuretti,0.05658259001214968,0.00363883150243082,0.3673196368848543,CM
,3330,Staphylococcus_haemolyticus,0.05094695575033743,0.0016055470083935863,0.37667809897109267,CM
,3330,Staphylococcus_hominis,7.43876901390339e-92,0.0,0.0,CM
,3330,Staphylococcus_hyicus,0.059365665499101994,0.002076513197596117,0.37667809897109267,CM
,3330,Staphylococcus_kloosii,0.15823176616929635,0.02272354497376052,0.4514386376981797,CM
,3330,Staphylococcus_lentus,0.09380190312365186,0.006837301965633702,0.4078514588859417,CM
,3330,Staphylococcus_lugdunensis,0.18339049209408306,0.04962755554545319,0.4969618616677441,CM
,3330,Staphylococcus_nepalensis,7.43876901390339e-92,0.0,0.0,CM
,3330,Staphylococcus_pasteuri,0.023450056584863366,0.00015013368942861613,0.3584149184149184,CM
,3330,Staphylococcus_pettenkoferi,0.0363945132341605,0.0009200360448792059,0.3628126474752242,CM
,3330,Staphylococcus_pseudintermedius,0.008458984292817124,0.0,0.30962545308095046,CM
,3330,Staphylococcus_saprophyticus,0.024925313125271305,8.106025521123721e-05,0.3458389563652722,CM
,3330,Staphylococcus_schleiferi,0.21307630148920093,0.05794744444068433,0.514247491638796,CM
,3330,Staphylococcus_sciuri,0.210993270120184,0.0647315020272741,0.5233492171545269,CM
,3330,Staphylococcus_succinus,0.1660483686123366,0.031197632234554577,0.4656571774682011,CM
,3330,Staphylococcus_vitulinus,0.24184499861282258,0.09822070388683857,0.5632234432234433,CM
,3330,Staphylococcus_warneri,0.03256459914770402,0.0008303207703899931,0.3499317250796541,CM
,3330,Staphylococcus_xylosus,0.22538289861859176,0.06971013402363746,0.5425546930134086,CM
,3330,PG-2021_10,0.1696722665423139,0.02697434146691702,0.5011734028683182,CM
,3330,PG-2021_12,0.11728568486856504,0.006202058023956291,0.45491124260355037,CM
,3330,PG-2021_14,0.11090314825289196,0.015027012982959243,0.4620192307692308,CM
,3330,PG-2021_15,0.13670866101855123,0.013411026763930791,0.46935286935286935,CM
,3330,PG-2021_16,0.14897063450197962,0.008023148500382151,0.46935286935286935,CM
,3330,PG-2021_17,0.18680036194971789,0.06218499635450371,0.528021978021978,CM
,3330,PG-2021_18,0.12195232676693059,0.03440753809419147,0.45491124260355037,CM
,3330,PG-2021_19,0.11278914598736874,0.006694239886823001,0.44801864801864805,CM
,3330,PG-2021_1,0.08627287335251026,0.0032527318470422597,0.42853957636566337,CM
,3330,PG-2021_22,0.1094133177763778,0.004278661790718508,0.44133180252583243,CM
,3330,PG-2021_23,0.11235913002724794,0.00908991706880055,0.44801864801864805,CM
,3330,PG-2021_27,0.05352798033623692,0.0007064687976440315,0.3995841995841996,CM
,3330,PG-2021_29,0.12435150202735286,0.018040068984356745,0.46935286935286935,CM
,3330,PG-2021_2,0.09996984470479212,0.012439585648752347,0.44801864801864805,CM
,3330,PG-2021_31,0.09824684518625096,0.003167637140946777,0.44133180252583243,CM
,3330,PG-2021_33,0.10031550446874145,0.0059156393520329665,0.434841628959276,CM
,3330,PG-2021_35,0.08568094402292228,0.017853107903749093,0.434841628959276,CM
,3330,PG-2021_38,0.14210877082299492,0.00931110889836587,0.46935286935286935,CM
,3330,PG-2021_40,0.09054361423125472,0.008666458960406794,0.44133180252583243,CM
,3330,PG-2021_41,0.10889262874815363,0.007929906438952946,0.44133180252583243,CM
,3330,PG-2021_43,0.12269987809056879,0.004631890612843435,0.44133180252583243,CM
,3330,PG-2021_46,0.06892106950592082,0.0013863787348589339,0.41646803900325025,CM
,3330,PG-2021_47,0.12997518829563776,0.012037649522519952,0.4620192307692308,CM
,3330,PG-2021_4,0.04469741715372929,0.0003013233912119821,0.3942564102564103,CM
,3330,PG-2021_5,0.07289129706747924,0.0016369151419260402,0.4224175824175824,CM
,3330,PG-2021_64,0.17111279643125255,0.017516646431224067,0.4928205128205129,CM
,3330,PG-2021_67,0.027953493557901457,0.00010913128497008489,0.37429406037000973,CM
,3330,PG-2021_68,0.04178464696713059,0.00034908380865023806,0.38906882591093117,CM
,3330,PG-2021_74,0.06748717940177601,0.001700040139141568,0.4224175824175824,CM
,3330,PG-2021_76,0.08402621832324965,0.0018606623040826908,0.4224175824175824,CM
,3330,PG-2021_84,0.14106682238749887,0.018547525489239065,0.47692307692307695,CM
,3330,PG-2021_86,0.168063947310628,0.022802168239491643,0.4928205128205129,CM
,3330,PG-2021_87,0.151048033947998,0.017128218872233057,0.47692307692307695,CM
,3330,PG-2021_88,0.04493874570890899,0.0015657482055388941,0.3942564102564103,CM
,3330,PG-2021_89,0.01217756697067113,0.0,0.31794871794871793,CM
,3330,PG-2021_8,0.17254537340083542,0.024915069433887813,0.4928205128205129,CM
,3330,PG-2021_90,0.024963381870644327,0.00010616853712435258,0.3562557924003707,CM
,3330,PG-2021_93,0.016775387743645686,0.0,0.3562557924003707,CM
,3330,PG-2021_9,0.15127674806083447,0.05896434033023907,0.5098143236074271,CM
