Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 144,3330,57.636106854962975
CM,Null iteration 145,3330,56.35199538792987
CM,Null iteration 146,3330,56.214038385194655
CM,Null iteration 147,3330,56.633515086742484
CM,Null iteration 148,3330,56.79401772553361
CM,Null iteration 149,3330,57.116030272402384
CM,Null iteration 150,3330,57.88732459510555
CM,Null iteration 151,3330,57.42023662950493
CM,Null iteration 152,3330,58.12540142260403
CM,Null iteration 153,3330,56.752874227773454
CM,Null iteration 154,3330,57.320846460260164
CM,Null iteration 155,3330,56.706024607661234
CM,Null iteration 156,3330,56.33440652622248
CM,Null iteration 157,3330,56.88461169788624
CM,Null iteration 158,3330,53.93702672109788
CM,Null iteration 159,3330,58.00001618929075
CM,Null iteration 160,3330,57.231579813975976
CM,Null iteration 161,3330,56.53607466606814
CM,Null iteration 162,3330,56.34702372021222
CM,Null iteration 163,3330,56.524967928471185
CM,Null iteration 164,3330,57.15621233122755
CM,Null iteration 165,3330,58.526749146242985
CM,Null iteration 166,3330,56.37569435078211
CM,Null iteration 167,3330,58.324588926025115
CM,Null iteration 168,3330,57.261826486109385
CM,Null iteration 169,3330,58.24577403059824
CM,Null iteration 170,3330,57.40753300080256
CM,Null iteration 171,3330,57.31086730211963
CM,Null iteration 172,3330,54.30306894447827
CM,Null iteration 173,3330,56.5136094850544
CM,Null iteration 174,3330,56.995495128904324
CM,Null iteration 175,3330,54.77795770217797
CM,Null iteration 176,3330,55.71819951621139
CM,Null iteration 177,3330,56.250463556552745
CM,Null iteration 178,3330,56.23327409660796
CM,Null iteration 179,3330,56.661176954495254
CM,Null iteration 180,3330,56.82660358906246
CM,Null iteration 181,3330,57.035365271955996
CM,Null iteration 182,3330,58.00988470129491
CM,Null iteration 183,3330,57.21810491119983
CM,Null iteration 184,3330,56.78112154540514
CM,Null iteration 185,3330,58.22423974536802
CM,Null iteration 186,3330,58.059129665816215
CM,Null iteration 187,3330,57.35380873527301
CM,Null iteration 188,3330,57.58453020953352
CM,Null iteration 189,3330,57.845697815712725
CM,Null iteration 190,3330,58.179518631215686
CM,Null iteration 191,3330,56.35414538145898
CM,Null iteration 192,3330,57.7174769951357
CM,Null iteration 193,3330,56.407880520581514
CM,Null iteration 194,3330,57.23189143280568
CM,Null iteration 195,3330,57.20928623975425
CM,Null iteration 196,3330,57.27860601431138
CM,Null iteration 197,3330,55.88715915824994
CM,Null iteration 198,3330,56.79070564028733
