Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,3180,MG592390.1,0.07940581793988266,0.005451964224245373,0.3232289257935674,CM
,3180,MG592391.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592392.1,0.022898621354475044,0.0,0.25785678349823915,CM
,3180,MG592393.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592394.1,0.0712125733226213,0.04059214413691952,0.3374890254609306,CM
,3180,MG592395.1,0.008093246291275577,0.0,0.24005495534877913,CM
,3180,MG592396.1,0.09693986836292566,0.04998323576373448,0.35198241919238166,CM
,3180,MG592397.1,0.059620251388111854,0.003302739226351502,0.29346871779211364,CM
,3180,MG592398.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592399.1,0.008093246291275577,0.0,0.24005495534877913,CM
,3180,MG592400.1,3.15744843671447e-41,0.0,0.004975124378109453,CM
,3180,MG592401.1,0.07791040125858163,0.005550416278696346,0.32232097937279897,CM
,3180,MG592402.1,0.03521290388482063,0.0050213043168731795,0.28758463322485317,CM
,3180,MG592403.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592406.1,0.008093246291275577,0.0,0.24005495534877913,CM
,3180,MG592407.1,0.01380969921164662,0.0,0.25785678349823915,CM
,3180,MG592408.1,0.0006806014455138121,0.0,0.1968203579017434,CM
,3180,MG592409.1,0.021403204673174008,0.0,0.2549917081260365,CM
,3180,MG592410.1,0.021403204673174008,0.0,0.2549917081260365,CM
,3180,MG592411.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592412.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592413.1,0.022898621354475044,0.0,0.25785678349823915,CM
,3180,MG592414.1,0.01380969921164662,0.0,0.25785678349823915,CM
,3180,MG592415.1,0.05650719658540762,0.0,0.28976330468867784,CM
,3180,MG592416.1,0.00544052445086674,0.0,0.23227989606622756,CM
,3180,MG592417.1,0.022898621354475044,0.0,0.25785678349823915,CM
,3180,MG592418.1,0.008093246291275577,0.0,0.24005495534877913,CM
,3180,MG592420.1,0.05650719658540762,0.0,0.28976330468867784,CM
